b_no	r_no	agegroup	name	birth	seat
365	313	1	Ye WonPo	1996-04-23	E01
366	5631	1	San BaeSun	1995-02-14	A10
367	32177	1	Nang YeoYang	1966-04-30	B04
368	14864	1	Myeong HwanChong	2013-03-26	E04
369	31843	1	Kil KokKwan	1954-12-08	E05
370	15834	1	Yeong MubonHong	1965-11-16	B04
371	20322	1	Nam ChoChae	2010-02-20	C09
372	5773	1	Gwok WanSeop	2008-08-04	E02
373	33432	1	Kun RaJong	1953-11-20	C05
374	22973	1	Yeom GyeonTan	1982-06-15	A10
375	5212	1	An TokkoMae	1961-02-01	D09
376	35521	1	Seok BingGeun	1975-06-17	E10
377	16897	1	Namgung SeoPo	2015-02-27	E02
378	47699	1	Kim SaRyang	2007-04-15	D07
379	423	1	U GeunKwak	1998-02-13	E07
380	10907	1	No OJeo	1977-04-12	E05
381	48488	1	Ru HwanKan	1960-07-29	E06
382	5874	1	Wan RyeomYeong	1959-03-26	A01
383	14729	1	Ha PaengYun	1974-08-05	A01
384	44571	1	Myeong KwakYeom	1981-05-28	C02
385	46998	2	Song PanMun	2019-02-12	E04
386	36021	1	Mo AnSon	1958-12-04	C06
387	42584	1	Jeung HamBeom	1969-02-26	C09
388	19926	1	Seo BaekMu	1994-09-16	E05
389	9149	1	Sa KwakTan	1994-10-18	C08
390	40088	1	Nang HongSong	1984-06-11	A02
391	12206	1	Jwa KwanBeom	1961-06-27	D04
392	6209	1	Tu EomMyeong	1961-02-07	C09
393	47095	1	Sobong TaTae	1976-06-09	E06
394	7063	1	Kam YeongKangjŏn	1999-05-31	D02
395	42055	1	Bong RyeomTon	2016-01-16	E08
396	6950	1	Mi KiYeo	1968-02-25	B08
397	37534	1	In ISeok	1952-04-13	C01
398	44409	1	Seomun UnSeong	1970-05-21	D03
399	23253	1	Mun NaChun	1998-10-06	E08
400	49402	1	Son YeomJu	2004-06-19	A06
401	47206	1	Sagong NoChang	1970-07-18	C07
402	13235	1	An RanMuk	1972-12-20	B06
403	41823	1	Kwan KangjŏnNo	2007-08-09	A04
404	18917	1	Sobong MyeongHwan	1969-06-18	C04
405	48130	1	Tok KiEo	1976-04-09	A07
406	13553	1	Hak BakKam	1956-08-19	C06
407	25864	1	Ban RoSang	2006-06-26	D07
408	34011	1	Sobong PyoSang	1984-06-04	C09
409	5439	1	Jeo BangHwang	2006-08-03	D05
410	41378	1	Seok RangJun	1986-02-02	A01
411	5506	1	Tae HyeonSeong	1994-12-16	A09
412	36639	1	Pan HanGeum	1996-04-21	E04
413	13111	1	No MoKong	2002-04-12	E04
414	13755	1	Ta TanNam	1955-03-03	B03
415	46556	1	Ryang RyeoKil	1968-02-18	C06
416	30228	1	Ye SeomunSip	1960-01-04	A10
417	9055	1	Seo JangJi	1991-03-01	E05
418	47942	1	Won TokkoNu	1968-08-31	E10
419	19588	1	Ta SeoHa	1953-03-20	C06
420	49083	1	Kan GwonMae	1995-03-25	E06
421	12646	1	Pyo JuBang	1978-02-05	B05
422	8684	3	Maeng KokMyo	2022-09-30	B02
423	40970	1	Tongbang KimEom	1989-09-06	A01
424	9533	1	Hyeon WanEum	2012-10-17	B05
425	34435	1	Tan SinRang	1981-09-23	B09
426	8531	1	Beon NanChoe	1972-07-22	C09
427	32160	1	So KangSi	1995-11-01	A04
428	12349	1	Myo MukKwan	1963-06-14	A03
429	9463	1	Yeon GyeonSeo	2012-09-17	E05
430	48370	1	Pan HwaBo	2004-02-25	A10
431	30538	1	Pung SaSong	2016-05-07	D06
432	42330	1	So KiEo	2015-10-09	B08
433	13038	1	Nan NuEom	1994-07-12	E07
434	1334	1	Nang KaeMok	1990-10-14	E03
435	44082	1	Nam GeunPi	2001-10-18	D07
436	33701	1	Jeong KwakHo	2005-04-17	C04
437	10298	1	Jeo NoeBing	1993-05-19	B10
438	10588	2	Gyeon NaBak	2018-05-26	B07
439	32871	1	Yeop WanJang	1998-12-30	A09
440	43748	1	Tae ImCha	1983-10-17	D07
441	44976	1	Yeong KunPil	2001-04-15	D10
442	40484	1	Cho DeungHeo	2008-11-04	A04
443	10059	1	Kang ChongDeung	1950-08-29	D03
444	9998	1	Ryu ChoYeom	1971-12-23	A07
445	19824	2	Yong TaeKwae	2020-09-29	E10
446	44632	1	Tam SeonSam	1951-12-29	A05
447	36990	3	Jeup TakSip	2021-11-16	B05
448	6471	1	Bu SimSagong	1975-11-01	E05
449	44304	2	Seok BoHwan	2019-03-05	C10
450	17175	1	Kok BanKim	1955-09-16	B02
451	31822	1	Yeom NaeHyeon	1993-10-14	B07
452	7059	1	Eun KilTae	1955-05-29	E05
453	10942	1	On JeongTongbang	2006-10-19	C01
454	23963	1	Janggok GwonYo	2004-01-05	C07
455	37351	1	Deung SonNo	1958-10-30	C07
456	5857	1	Ya JuTang	2004-02-12	B01
457	819	3	Sun MunYeop	2021-11-01	A05
458	19849	1	Tang ChunBeon	1995-02-13	B06
459	30	2	Sobong JegalKa	2019-11-18	B05
460	1842	1	Tan NangKye	1992-01-17	E10
461	34454	1	Ha MiRyuk	2013-07-17	A05
462	19638	1	Yuk JinHwan	1950-08-20	B08
463	44859	1	Eom ToKok	2001-03-13	D02
464	7978	1	An HakMu	2011-10-21	C10
465	42842	1	Bang AnCho	1972-09-02	E07
466	41886	1	Deungjeong PoHa	1955-03-25	C08
467	3437	1	Kye HuSeung	1961-08-17	A05
468	15391	1	Sa PaengYa	1986-11-19	C10
469	5133	2	Deung HyeonHwa	2018-01-09	C05
470	30420	1	Ban KongTong	1962-11-21	B10
471	4697	1	Kun InKong	1999-04-07	E01
472	24406	1	Hwang MaYeon	2006-04-04	B02
473	17269	1	Jeon BoBo	1963-03-02	A05
474	25315	2	Noe EumHwa	2017-04-27	B09
475	6069	1	Ryu MyoSeol	1969-10-09	B06
476	1689	3	Bok KwaeSam	2021-06-21	E04
477	39888	1	Eo JeomSi	2015-02-24	C02
478	14132	1	Gyeong PilYong	1951-01-18	C07
479	49154	1	Mangjeol MukYeong	1972-04-07	A06
480	35888	1	Na HyeonSu	2003-04-27	A08
481	36330	1	Kung KamTak	1986-06-27	A08
482	25922	1	Seop InHyeon	1960-12-01	D02
483	2763	1	Hwa ToOk	1964-05-01	B07
484	39419	1	Ju RoePan	1965-11-27	E05
485	28100	1	Ryeom ChaDeungjeong	2005-07-11	E10
486	7105	1	Muk SiOk	1989-09-18	B10
487	29884	1	Pyeon TaeMangjeol	1980-10-31	E08
488	23510	1	Su BokTam	1955-07-22	B01
489	44696	1	Jo SagongRi	1996-12-08	D06
490	4789	1	Heo DeungjeongSan	2014-11-08	D08
491	5618	1	Man CheonJeon	1972-09-01	C01
492	26976	1	Eum ImPo	2002-01-04	C04
493	22409	1	No GwonCho	1996-04-16	C10
494	6659	1	Chae YongI	1966-12-22	A09
495	33623	1	Jwa KongRim	2007-07-24	C10
496	17363	1	Tong TokMuk	1992-12-09	B04
497	17513	1	Ji JegalJun	1955-08-09	C09
498	2826	1	Eom SanKok	1989-10-21	D05
499	42102	1	Ryeo SeokNoe	1964-10-24	D09
500	21990	2	Kam KuKye	2017-12-02	A10
501	5959	1	Baek HakWan	1950-08-01	C04
502	47929	2	Kangjŏn YeomYang	2018-03-27	C03
503	41748	1	Bing YeHak	2011-08-19	C02
504	25958	1	Kam EunJin	1994-05-13	E08
505	11188	1	Myeong NamgungEogeum	1962-02-21	E05
506	45533	1	Sam KungCha	2008-03-22	A02
507	3723	1	Ton BangKyo	1969-03-09	A08
508	7682	3	Hwangmok TangNae	2021-05-29	B08
509	42663	1	Won MoSeol	2005-10-09	B10
510	5318	1	Kuk YeoJanggok	2010-01-23	D09
511	27294	3	Jegal SuHu	2021-10-24	C01
512	42800	1	Bo EoRyuk	1972-11-30	B06
513	43125	1	Son KwaeTu	1985-02-08	E03
514	33592	1	Mo KongYeong	1956-06-21	A07
515	28250	1	Hu TangKam	1959-07-20	E04
516	7648	1	Kun KimNoe	2008-11-07	E06
517	48520	1	Ri KunSim	2009-02-04	D03
518	14494	3	Deungjeong WanJang	2022-06-09	C07
519	12333	1	Mi TaeKye	2002-11-16	A02
520	22232	1	Nae AnYo	1997-02-14	E07
521	28111	1	Kwae SiKu	2004-09-24	B07
522	49017	1	Ye RoHeung	1976-06-08	B06
523	32379	1	To KwanSeomun	1957-07-12	B08
524	11178	1	No JeungTak	2007-01-02	E05
525	20087	1	Kal MyeongJwa	2016-08-29	A06
526	4303	1	Ma WiTan	1989-05-10	A03
527	20745	1	Yeop BingTa	1950-04-27	B06
528	39789	1	Son MaYeo	2001-12-16	D05
529	13280	1	Yong BeonSo	1959-12-29	D05
530	28259	1	Sun KiYeong	1959-03-10	A01
531	28	1	Tam YukBae	1954-02-03	E02
532	10367	1	Ban MaTon	1979-05-30	E10
